name ts   x y z   roll pitch yaw  err delay
QR_4 1787064779.982410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.1e-05
HR_6 1787064779.992410000 1.000000   5.9007e-13 0.225375 -2.71165e-12   2.58381e-08 -2.97616e-17 0.0001   1.7e-05
QR_4 1787064779.992410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.7e-05
HR_6 1787064780.002410000 1.000000   5.9043e-13 0.225385 -2.71341e-12   2.58549e-08 -2.97832e-17 0.0001   1.8e-05
QR_4 1787064780.002410000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.8e-05
HR_6 1787064780.012411000 1.000000   5.90861e-13 0.225395 -2.71517e-12   2.58717e-08 -2.9812e-17 0.0001   3.5e-05
QR_4 1787064780.012411000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.5e-05
HR_6 1787064780.022411000 1.000000   5.91083e-13 0.225401 -2.71623e-12   2.58818e-08 -2.98342e-17 0.0001   4.1e-05
QR_4 1787064780.022411000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   4.1e-05
HR_6 1787064780.032411000 1.000000   5.91513e-13 0.225411 -2.71799e-12   2.58986e-08 -2.98188e-17 0.0001   2.9e-05
QR_4 1787064780.032411000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.9e-05
HR_6 1787064780.042411000 1.000000   5.91874e-13 0.225421 -2.71976e-12   2.59154e-08 -2.97624e-17 0.0001   1.7e-05
QR_4 1787064780.042411000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.7e-05
HR_6 1787064780.052411000 1.000000   5.9229e-13 0.225431 -2.72152e-12   2.59322e-08 -2.96605e-17 0.0001   1.5e-05
QR_4 1787064780.052411000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.5e-05
HR_6 1787064780.062411000 1.000000   5.92665e-13 0.225441 -2.72328e-12   2.5949e-08 -2.96554e-17 0.0001   1.4e-05
QR_4 1787064780.062411000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.4e-05
HR_6 1787064780.072411000 1.000000   5.93081e-13 0.225451 -2.72505e-12   2.59658e-08 -2.96331e-17 0.0001   5.3e-05
QR_4 1787064780.072411000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   5.3e-05
HR_6 1787064780.082411000 1.000000   5.93497e-13 0.225461 -2.72681e-12   2.59826e-08 -2.96595e-17 0.0001   0.000268
QR_4 1787064780.082411000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000268
HR_6 1787064780.092411000 1.000000   5.93872e-13 0.225471 -2.72857e-12   2.59994e-08 -2.96064e-17 0.0001   4.4e-05
QR_4 1787064780.092411000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   4.4e-05
HR_6 1787064780.102411000 1.000000   5.94053e-13 0.225475 -2.72928e-12   2.60062e-08 -2.96208e-17 0.0001   0.000991
QR_4 1787064780.102411000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000991
HR_6 1787064780.112412000 1.000000   5.94427e-13 0.225485 -2.73104e-12   2.6023e-08 -2.95921e-17 0.0001   4.8e-05
QR_4 1787064780.112412000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   4.8e-05
HR_6 1787064780.122412000 1.000000   5.94844e-13 0.225495 -2.73281e-12   2.60398e-08 -2.96187e-17 0.0001   0.00138
QR_4 1787064780.122412000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.00138
HR_6 1787064780.132412000 1.000000   5.94982e-13 0.225499 -2.73351e-12   2.60465e-08 -2.9627e-17 0.0001   1.1e-05
QR_4 1787064780.132412000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.1e-05
HR_6 1787064780.142412000 1.000000   5.95399e-13 0.225509 -2.73527e-12   2.60633e-08 -2.96803e-17 0.0001   4.1e-05
QR_4 1787064780.142412000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   4.1e-05
HR_6 1787064780.152412000 1.000000   5.9576e-13 0.225519 -2.73704e-12   2.60801e-08 -2.9719e-17 0.0001   6e-06
QR_4 1787064780.152412000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   6e-06
HR_6 1787064780.162412000 1.000000   5.96093e-13 0.225527 -2.73845e-12   2.60935e-08 -2.97514e-17 0.0001   0.000713
QR_4 1787064780.162412000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000713
HR_6 1787064780.172412000 1.000000   5.96412e-13 0.225535 -2.73986e-12   2.6107e-08 -2.97164e-17 0.0001   8e-06
QR_4 1787064780.172412000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   8e-06
HR_6 1787064780.182412000 1.000000   5.96745e-13 0.225543 -2.74127e-12   2.61204e-08 -2.97588e-17 0.0001   2.4e-05
QR_4 1787064780.182412000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.4e-05
HR_6 1787064780.192412000 1.000000   5.97064e-13 0.225551 -2.74268e-12   2.61339e-08 -2.97904e-17 0.0001   1.9e-05
QR_4 1787064780.192412000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.9e-05
HR_6 1787064780.202412000 1.000000   5.97425e-13 0.225561 -2.74444e-12   2.61507e-08 -2.97797e-17 0.0001   2.9e-05
QR_4 1787064780.202412000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.9e-05
HR_6 1787064780.212413000 1.000000   5.97758e-13 0.225569 -2.74585e-12   2.61641e-08 -2.97816e-17 0.0001   2.3e-05
QR_4 1787064780.212413000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.3e-05
HR_6 1787064780.222413000 1.000000   5.98077e-13 0.225577 -2.74726e-12   2.61775e-08 -2.97334e-17 0.0001   0.000141
QR_4 1787064780.222413000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000141
HR_6 1787064780.232413000 1.000000   5.9841e-13 0.225585 -2.74868e-12   2.6191e-08 -2.96703e-17 0.0001   2.3e-05
QR_4 1787064780.232413000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.3e-05
HR_6 1787064780.242413000 1.000000   5.98868e-13 0.225597 -2.75079e-12   2.62112e-08 -2.96656e-17 0.0001   7.7e-05
QR_4 1787064780.242413000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   7.7e-05
HR_6 1787064780.252413000 1.000000   5.99201e-13 0.225605 -2.7522e-12   2.62246e-08 -2.97033e-17 0.0001   0.001149
QR_4 1787064780.252413000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.001149
HR_6 1787064780.262413000 1.000000   5.99618e-13 0.225615 -2.75397e-12   2.62414e-08 -2.96812e-17 0.0001   3.5e-05
QR_4 1787064780.262413000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.5e-05
HR_6 1787064780.272413000 1.000000   5.99978e-13 0.225625 -2.75573e-12   2.62582e-08 -2.96743e-17 0.0001   1.7e-05
QR_4 1787064780.272413000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.7e-05
HR_6 1787064780.282413000 1.000000   6.00214e-13 0.225631 -2.75679e-12   2.62683e-08 -2.96652e-17 0.0001   3.5e-05
QR_4 1787064780.282413000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.5e-05
HR_6 1787064780.292413000 1.000000   6.00534e-13 0.225639 -2.7582e-12   2.62817e-08 -2.96247e-17 0.0001   1.5e-05
QR_4 1787064780.292413000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.5e-05
HR_6 1787064780.302413000 1.000000   6.01047e-13 0.225651 -2.76031e-12   2.63019e-08 -2.95695e-17 0.0001   3.4e-05
QR_4 1787064780.302413000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.4e-05
HR_6 1787064780.312414000 1.000000   6.01422e-13 0.225661 -2.76208e-12   2.63187e-08 -2.95638e-17 0.0001   0.003357
QR_4 1787064780.312414000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.003357
