# logged on Tue Aug 18 14:52:59 2026
#
# Rotor commands low-pass filter cut-off frequency
# { fc 0 }
# IMU calibration (0°C average)
# gscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# gbias {
#  0                    0  1                    0  2                    0
# }
# gstddev {
#  0                 0.01  1                 0.01  2                 0.01
# }
# ascale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# abias {
#  0                    0  1                    0  2                    0
# }
# astddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 20  y 20  z 20 }
# afc { x 5  y 5  z 5 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 20 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 thro0 cons0 meas_v1 thro1 cons1 meas_v2 thro2 cons2 meas_v3 thro3 cons3 meas_v4 thro4 cons4 meas_v5 thro5 cons5 meas_v6 thro6 cons6 meas_v7 thro7 cons7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1787064779.766846000  191.075 0 7.45961e-09  16  nan  -0.000565928 -0.000512575 -0.000448808  0.0015979 0 -0.0015979  -0.000208247 0.0191487 9.81417  0.00239502 0 9.81958  2.364e-05 -3.4e-07 -3.98e-05  2.364e-05 -3.4e-07 -3.98e-05  - - - - - - - - 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan nan nan nan nan 0 0 0 0 0 0 0 0
1787064779.783082000  293.956 0 644.494  -  nan  7.22219e-05 9.566e-05 -1.28543e-05  0.00266316 -0.00319579 0.00479369  -0.000375653 0.0160238 9.81374  0.0119751 -0.0239502 9.84593  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.784084000  301.127 0 644.494  -  nan  0.000361462 -0.000271782 0.000523725  0.00266316 -0.00319579 0.00479369  5.38559e-07 0.0148062 9.81472  0.0119751 -0.0239502 9.84593  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.785110000  307.778 0 644.494  -  nan  0.000202189 5.58609e-05 0.000465259  -0.00106526 0.00266316 0  0.000657072 0.0148659 9.81479  0.0215552 0.0167651 9.81719  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1787064779.787165000  321.044 0 644.494  -  nan  -6.50003e-05 0.000605501 0.000367179  -0.00106526 0.00266316 0  0.00191076 0.0149798 9.81494  0.0215552 0.0167651 9.81719  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.788176000  328.609 0 644.494  -  nan  -0.000176665 0.000835208 0.000326189  -0.00106526 0.00266316 0  0.00250911 0.0150342 9.815  0.0215552 0.0167651 9.81719  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.789301000  334.994 0 644.494  -  nan  -0.000335325 0.00115819 0.000289775  -0.0015979 0.00372843 0  0.00214088 0.015014 9.81573  -0.00958008 0.0143701 9.83874  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.790306000  342.238 0 644.494  -  nan  -0.000476272 0.00120728 0.000614189  -0.0015979 0.0015979 0.00319579  0.000543722 0.0152132 9.81599  -0.0502954 0.0215552 9.82437  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.791094000  348.815 0 644.494  -  nan  -0.000601485 0.00125089 0.000902387  -0.0015979 0.0015979 0.00319579  -0.00100479 0.0154064 9.81625  -0.0502954 0.0215552 9.82437  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.792096000  348.815 0 644.494  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
