# logged on Tue Aug 18 14:52:59 2026
#
# Rotor commands low-pass filter cut-off frequency
# { fc 0 }
# IMU calibration (0°C average)
# gscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# gbias {
#  0                    0  1                    0  2                    0
# }
# gstddev {
#  0                 0.01  1                 0.01  2                 0.01
# }
# ascale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# abias {
#  0                    0  1                    0  2                    0
# }
# astddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 20  y 20  z 20 }
# afc { x 5  y 5  z 5 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 20 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 thro0 cons0 meas_v1 thro1 cons1 meas_v2 thro2 cons2 meas_v3 thro3 cons3 meas_v4 thro4 cons4 meas_v5 thro5 cons5 meas_v6 thro6 cons6 meas_v7 thro7 cons7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1787064779.766846000  191.075 0 7.45961e-09  16  nan  -0.000565928 -0.000512575 -0.000448808  0.0015979 0 -0.0015979  -0.000208247 0.0191487 9.81417  0.00239502 0 9.81958  2.364e-05 -3.4e-07 -3.98e-05  2.364e-05 -3.4e-07 -3.98e-05  - - - - - - - - 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan nan nan nan nan 0 0 0 0 0 0 0 0
1787064785.356347000  1018.28 0 20.8054  -  -  - - -  - - -  - - -  - - -  - - -  - - -  69.3415 66.2855 72.3823 66.0864 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.357077000  1020.77 0 20.8054  -  nan  -0.135328 -0.0746006 -0.0882844  -0.146474 -0.125701 -0.12144  -0.0653887 -0.150481 9.43414  0.0167651 -1.69088 9.71659  - - -  - - -  68.9808 66.3942 72.5657 66.1097 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.359378000  1020.6 0 20.8054  -  nan  -0.135918 -0.0756079 -0.0966236  -0.140615 -0.0836233 -0.162985  -0.0228368 -0.161728 9.38168  1.33163 -0.519719 7.71196  - - -  - - -  68.9808 66.3942 72.5657 66.1097 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.360086000  1020.6 0 20.8054  -  -  - - -  - - -  - - -  - - -  - - -  - - -  68.6816 66.4557 72.8372 66.089 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.361126000  1017.33 0 20.8054  -  nan  -0.136205 -0.0820325 -0.100286  -0.138484 -0.133158 -0.12943  0.00616334 -0.108947 9.4339  0.929268 1.57113 11.0961  - - -  - - -  68.5671 66.417 73.057 66.0064 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.362106000  1017.06 0 20.8054  -  nan  -0.136459 -0.0877399 -0.103539  -0.138484 -0.133158 -0.12943  0.0342802 -0.057773 9.48453  0.929268 1.57113 11.0961  - - -  - - -  68.5452 66.4202 73.0874 66.0074 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.363430000  1019.61 0 20.8054  -  nan  -0.137815 -0.0910858 -0.0994728  -0.148604 -0.117712 -0.0671117  0.0258681 -0.0145777 9.52537  -0.241897 1.36037 10.8255  - - -  - - -  68.6226 66.285 73.313 65.8431 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.364089000  1019.61 0 20.8054  -  -  - - -  - - -  - - -  - - -  - - -  - - -  68.5194 66.2197 73.5744 65.7343 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.365135000  1016.41 0 20.8054  -  nan  -0.14009 -0.0892419 -0.0902114  -0.158192 -0.0745685 -0.0165116  -0.0268602 -0.0030453 9.46605  -1.70525 0.364043 7.57784  - - -  - - -  68.4203 66.2728 73.6025 65.6534 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.366116000  1016.25 0 20.8054  -  nan  -0.142111 -0.0876038 -0.0819839  -0.158192 -0.0745685 -0.0165116  -0.0779824 0.00813585 9.40854  -1.70525 0.364043 7.57784  - - -  - - -  68.3991 66.2787 73.6298 65.6486 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.367114000  1016.21 0 20.8054  -  nan  -0.142479 -0.090192 -0.0721776  -0.145409 -0.110788 0.00585895  -0.115292 -0.0070667 9.36956  -1.30289 -0.490979 8.1287  - - -  - - -  68.3762 66.285 73.6593 65.6434 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.368093000  1015.95 0 20.8054  -  nan  -0.142806 -0.0924911 -0.0634659  -0.145409 -0.110788 0.00585895  -0.151465 -0.0218062 9.33176  -1.30289 -0.490979 8.1287  - - -  - - -  68.3762 66.285 73.6593 65.6434 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.369086000  1015.78 0 20.8054  -  nan  -0.140896 -0.0981013 -0.0601864  -0.125701 -0.142745 -0.0340885  -0.15152 -0.0702373 9.39222  -0.153281 -1.61185 11.3165  - - -  - - -  67.8701 66.9127 73.321 65.9751 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.370090000  1015.75 0 20.8054  -  nan  -0.139676 -0.0960093 -0.0639325  -0.129962 -0.0793622 -0.0937433  -0.133993 -0.107126 9.43689  0.423918 -1.28134 10.859  - - -  - - -  67.8488 66.9213 73.349 65.9708 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.371117000  1015.51 0 20.8054  -  nan  -0.138591 -0.0941509 -0.0672604  -0.129962 -0.0793622 -0.0937433  -0.117 -0.142891 9.48021  0.423918 -1.28134 10.859  - - -  - - -  67.5961 67.1115 73.2958 66.1285 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.372090000  1015.38 0 20.8054  -  nan  -0.138877 -0.0888134 -0.0785413  -0.141148 -0.046339 -0.168312  -0.0789306 -0.138539 9.4087  1.13284 0 7.13237  - - -  - - -  67.3539 67.1634 73.3739 66.2518 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.373107000  1015.24 0 20.8054  -  nan  -0.13913 -0.0840718 -0.0885629  -0.141148 -0.046339 -0.168312  -0.0420211 -0.134319 9.33936  1.13284 0 7.13237  - - -  - - -  67.3539 67.1634 73.3739 66.2518 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.376051000  1015.33 0 20.8054  -  nan  -0.138463 -0.0849136 -0.0967521  -0.133158 -0.0916127 -0.16192  -0.0149898 -0.0928048 9.32043  0.845442 1.22865 8.71787  - - -  - - -  67.3713 67.0931 73.4303 66.2506 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.376112000  1015.33 0 20.5573  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - 67.2585 39.9804 62.902 - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.377123000  1014.61 0 20.4896  -  nan  -0.137871 -0.0856615 -0.104027  -0.133158 -0.0916127 -0.16192  0.0112181 -0.0525547 9.30208  0.845442 1.22865 8.71787  - - -  - - -  67.8234 66.7821 73.4273 66.0636 - - - - - - - 67.2585 26.8817 62.829 73.2601 40.7625 4.33 66.507 37.5367 4.327 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.378084000  1014.41 0 20.4896  -  nan  -0.137702 -0.0798447 -0.102285  -0.136354 -0.0335558 -0.0884169  -0.0139996 -0.0252756 9.3781  -0.816702 0.843047 11.7979  - - -  - - -  68.1088 66.6307 73.528 65.8545 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.379093000  1014.25 0 20.4896  -  nan  -0.139514 -0.0710501 -0.090866  -0.153931 -0.00106526 0  -0.0525284 -0.0294663 9.3059  -1.27894 -0.162861 7.00783  - - -  - - -  68.2712 66.4931 73.6903 65.6776 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.380106000  1014.09 0 20.4896  -  nan  -0.141123 -0.0632373 -0.0807221  -0.153931 -0.00106526 0  -0.0898837 -0.0335294 9.2359  -1.27894 -0.162861 7.00783  - - -  - - -  68.425 66.3337 73.8873 65.4984 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.381098000  1013.89 0 20.4896  -  nan  -0.140591 -0.0613509 -0.0682025  -0.136354 -0.046339 0.0314253  -0.0932738 -0.0481924 9.18095  -0.201182 -0.514929 7.43175  - - -  - - -  68.425 66.3337 73.8873 65.4984 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.385287000  1013.89 0 20.4896  -  -  - - -  - - -  - - -  - - -  - - -  - - -  68.4914 66.363 73.7952 65.5098 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1787064785.387083000  1012.27 0 20.4896  -  nan  -0.141303 -0.0557484 -0.0571301  -0.150735 -0.0245011 -0.0575243  -0.0774975 -0.0522644 9.04859  0.529299 0.270637 6.53122  - - -  - - -  68.2544 67.1076 73.0651 66.0244 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.388270000  1019.58 0 20.4896  -  nan  -0.141048 -0.0560656 -0.0613363  -0.139017 -0.0585895 -0.0948085  -0.0644863 -0.0307572 8.98198  0.349673 0.65384 6.86173  - - -  - - -  68.3724 67.0489 72.9195 66.0655 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.389070000  1019.8 0 20.4896  -  nan  -0.140821 -0.0563473 -0.065073  -0.139017 -0.0585895 -0.0948085  -0.0518714 -0.00990501 8.9174  0.349673 0.65384 6.86173  - - -  - - -  68.3513 67.0615 72.955 66.0645 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.390161000  1024.44 0 20.4896  -  nan  -0.14062 -0.0565976 -0.0683925  -0.139017 -0.0585895 -0.0948085  -0.0396407 0.010312 8.85478  0.349673 0.65384 6.86173  - - -  - - -  68.3513 67.0615 72.955 66.0645 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.391097000  1024.44 0 20.4896  -  -  - - -  - - -  - - -  - - -  - - -  - - -  68.3278 67.4082 72.7352 66.1975 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.394160000  1020.22 0 20.4896  -  nan  -0.138716 -0.0566416 -0.0653954  -0.123571 -0.0569916 -0.0415453  -0.0510537 0.0272141 8.96595  -0.414338 0.565225 12.5044  - - -  - - -  68.3278 67.4082 72.7352 66.1975 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.395082000  1022.5 0 20.4896  -  nan  -0.137144 -0.0513887 -0.0505435  -0.124636 -0.00958738 0.0676443  -0.0654747 0.0275524 9.0374  -0.524509 0.0383203 11.3117  - - -  - - -  68.3273 67.4342 72.9614 66.1477 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.396110000  1018.4 0 20.4896  -  nan  -0.136105 -0.0456519 -0.0244467  -0.127832 0 0.183225  -0.0561124 0.0185428 9.03627  0.241897 -0.268242 9.00048  - - -  - - -  68.3708 67.0744 72.855 66.5435 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.397189000  1018.46 0 20.4896  -  nan  -0.135181 -0.0405556 -0.00126315  -0.127832 0 0.183225  -0.0470353 0.0098076 9.03518  0.241897 -0.268242 9.00048  - - -  - - -  68.3567 67.0923 72.8905 66.5455 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.398122000  1024.11 0 20.4896  -  nan  -0.134361 -0.0360281 0.0193323  -0.127832 0 0.183225  -0.0382347 0.00133848 9.03412  0.241897 -0.268242 9.00048  - - -  - - -  68.2686 67.6378 72.564 66.456 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.399111000  1024.11 0 20.4896  -  -  - - -  - - -  - - -  - - -  - - -  - - -  67.6808 68.4465 71.5915 67.3188 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.400098000  1019.6 0 20.4896  -  nan  -0.134227 -0.0255844 0.0149741  -0.133158 0.0575243 -0.0197074  -0.0375808 0.0108542 9.02945  -0.0167651 0.313748 8.88073  - - -  - - -  67.6657 68.4653 71.6243 67.319 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.401098000  1019.37 0 20.4896  -  nan  -0.134107 -0.0163065 0.0111024  -0.133158 0.0575243 -0.0197074  -0.0369468 0.02008 9.02492  -0.0167651 0.313748 8.88073  - - -  - - -  67.3842 68.8384 71.1944 67.7201 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.402106000  1019.13 0 20.4896  -  nan  -0.134655 -0.00978877 0.000408765  -0.139017 0.0420779 -0.0846885  -0.0461803 0.0307756 8.94846  -0.340093 0.371228 6.51445  - - -  - - -  67.3677 68.8592 71.2299 67.7209 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.403110000  1018.77 0 20.4896  -  nan  -0.135142 -0.00399862 -0.00909109  -0.139017 0.0420779 -0.0846885  -0.0551326 0.0411455 8.87432  -0.340093 0.371228 6.51445  - - -  - - -  67.6015 68.8971 70.9859 67.7525 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.404092000  1019.04 0 20.4896  -  nan  -0.134683 -0.000817048 -0.0203845  -0.131028 0.0245011 -0.110255  -0.0636663 0.0502511 8.86073  -0.335303 0.340093 8.42807  - - -  - - -  67.8461 68.8632 70.8777 67.6997 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.405085000  1018.86 0 20.4896  -  nan  -0.134275 0.00200935 -0.0304172  -0.131028 0.0245011 -0.110255  -0.0719401 0.0590794 8.84755  -0.335303 0.340093 8.42807  - - -  - - -  68.327 68.6844 70.7003 67.5513 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.406087000  1018.73 0 20.4896  -  nan  -0.130761 0.0069581 -0.0318379  -0.102798 0.046339 -0.0431432  -0.0748554 0.0554562 8.96783  -0.167651 -0.0598755 12.7966  - - -  - - -  68.6451 68.5749 70.7658 67.3431 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.407121000  1017.9 0 20.4896  -  nan  -0.129958 0.0130787 -0.0202565  -0.123571 0.0617853 0.0719053  -0.0849768 0.031882 8.99261  -0.407153 -0.718506 9.78126  - - -  - - -  68.9406 68.4185 70.9091 67.1127 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.409989000  1017.1 0 20.4896  -  nan  -0.128612 0.0233465 -0.000828039  -0.123571 0.0617853 0.0719053  -0.104304 -0.013134 9.03992  -0.407153 -0.718506 9.78126  - - -  - - -  69.1543 68.2838 71.04 66.9525 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.410114000  1017.1 0 20.4896  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.411290000  1018.13 0 20.4896  -  nan  -0.129535 0.0273403 0.0153187  -0.136886 0.0591222 0.143811  -0.0877045 -0.0309714 8.96409  0.440684 -0.598755 6.55038  - - -  - - -  69.3172 68.2031 71.1029 66.936 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.412127000  1017.83 0 20.4896  -  nan  -0.130356 0.0308883 0.029663  -0.136886 0.0591222 0.143811  -0.0716103 -0.0482655 8.89057  0.440684 -0.598755 6.55038  - - -  - - -  69.2497 68.4897 70.5466 67.3237 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.413094000  1017.57 0 20.4896  -  nan  -0.127577 0.034278 0.0341409  -0.105461 0.0612527 0.0697748  -0.0427294 -0.0302358 8.99371  0.876577 0.543669 12.2769  - - -  - - -  69.2497 68.4897 70.5466 67.3237 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.414104000  1017.61 0 20.4896  -  nan  -0.126773 0.0385975 0.0246213  -0.120375 0.0729706 -0.0511327  -0.0402607 -0.0134117 9.02908  0.0383203 0.522114 10.1549  - - -  - - -  68.9885 69.0059 69.8967 67.8333 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.418340000  1016.83 0 20.4896  -  nan  -0.126059 0.0424347 0.0161645  -0.120375 0.0729706 -0.0511327  -0.0378672 0.00289986 9.06337  0.0383203 0.522114 10.1549  - - -  - - -  68.957 69.3783 69.3118 68.2325 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1787064785.420134000  1015.78 0 20.4896  -  nan  -0.125424 0.0458436 0.00865177  -0.120375 0.0729706 -0.0511327  -0.0355466 0.0187146 9.09662  0.0383203 0.522114 10.1549  - - -  - - -  68.9461 69.4031 69.35 68.2379 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.421094000  1015.78 0 20.4896  -  nan  -0.12486 0.0488719 0.00197772  -0.120375 0.0729706 -0.0511327  -0.0332967 0.0340477 9.12885  0.0383203 0.522114 10.1549  - - -  - - -  68.9461 69.4031 69.35 68.2379 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.422084000  1017.37 0 20.4896  -  nan  -0.126857 0.0516217 -0.0138217  -0.142745 0.0735032 -0.13955  -0.0457783 0.0424212 9.06067  -0.443079 0.308958 6.89047  - - -  - - -  68.9301 69.4397 69.4062 68.2459 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.423088000  1017.34 0 20.4896  -  nan  -0.131485 0.0553725 -0.0143004  -0.168312 0.0852212 -0.0181095  -0.0324931 0.0174933 9.03987  0.390388 -0.775986 8.37778  - - -  - - -  69.6699 68.9785 69.5453 67.8018 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.424079000  1016.78 0 20.6458  -  nan  -0.135596 0.0587047 -0.0147256  -0.168312 0.0852212 -0.0181095  -0.0196125 -0.00667534 9.01971  0.390388 -0.775986 8.37778  - - -  - - -  69.6625 68.9974 69.5719 67.8029 - - - - 68.6153 25.7087 0.75 69.0131 45.65 4.178 69.2137 46.7253 63.957 68.6153 25.0244 0.404 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.425076000  1016.91 0 20.6458  -  nan  -0.139665 0.0604162 -0.00731405  -0.17204 0.0740359 0.0516653  0.00396409 -0.0153719 8.9744  0.754431 -0.292192 7.53234  - - -  - - -  70.2112 68.5128 69.7533 67.5074 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.426103000  1016.73 0 20.6458  -  nan  -0.143279 0.0619366 -0.000729872  -0.17204 0.0740359 0.0516653  0.0268226 -0.0238036 8.93048  0.754431 -0.292192 7.53234  - - -  - - -  70.3449 68.7667 69.7064 67.2073 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.427074000  1016.24 0 20.6458  -  nan  -0.143041 0.0626927 0.00178949  -0.141148 0.0687096 0.0218379  0.0511004 -0.01075 9.00673  0.823887 0.404758 11.4338  - - -  - - -  70.4019 68.8526 69.6861 67.131 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.428087000  1016.12 0 20.6458  -  nan  -0.142532 0.064732 -0.00899425  -0.138484 0.0809601 -0.0948085  0.0553799 0.0202164 9.06183  0.191602 1.00591 10.8159  - - -  - - -  70.3685 69.0938 69.5489 67.1172 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.430112000  1019.5 0 20.6458  -  nan  -0.14208 0.0665436 -0.0185741  -0.138484 0.0809601 -0.0948085  0.0595291 0.0502396 9.11526  0.191602 1.00591 10.8159  - - -  - - -  70.448 69.2987 69.4494 67.0443 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.430740000  1019.5 0 20.6458  -  -  - - -  - - -  - - -  - - -  - - -  - - -  70.448 69.2987 69.4494 67.0443 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.433592000  1014.96 0 20.6458  -  nan  -0.14269 0.0676205 -0.0421965  -0.150735 0.0633832 -0.162453  0.0374697 0.0832052 9.12661  -0.792751 0.205972 7.8389  - - -  - - -  70.6499 69.1945 69.6333 66.8665 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.434092000  1014.96 0 20.6458  -  nan  -0.139842 0.0662556 -0.0521726  -0.117179 0.0553938 -0.13156  0.0118172 0.0738865 9.1866  -0.804727 -0.222737 11.0961  - - -  - - -  70.6437 68.8192 69.5093 67.3184 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.435132000  1014.61 0 20.6458  -  nan  -0.137312 0.065043 -0.061035  -0.117179 0.0553938 -0.13156  -0.0130539 0.0648516 9.24476  -0.804727 -0.222737 11.0961  - - -  - - -  70.6426 68.8397 69.5304 67.3171 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.436100000  1014.59 0 20.6458  -  nan  -0.135064 0.0639658 -0.0689081  -0.117179 0.0553938 -0.13156  -0.0371675 0.056092 9.30115  -0.804727 -0.222737 11.0961  - - -  - - -  71.3546 68.5367 70.1721 66.204 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.437078000  1014.41 0 20.6458  -  nan  -0.129738 0.0631278 -0.0641886  -0.0873517 0.056459 -0.0266316  -0.0431115 0.0306018 9.35779  -0.232317 -0.780776 11.1608  - - -  - - -  71.3519 68.5558 70.1904 66.1978 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.438077000  1014.51 0 20.6458  -  nan  -0.128693 0.0630374 -0.0472119  -0.120375 0.062318 0.0878843  -0.0327526 -0.00242832 9.30898  0.296982 -1.05381 7.75507  - - -  - - -  71.4363 68.4158 70.3539 66.098 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.439139000  1014.17 0 20.6458  -  nan  -0.127764 0.0629571 -0.0321304  -0.120375 0.062318 0.0878843  -0.0227092 -0.0344523 9.26165  0.296982 -1.05381 7.75507  - - -  - - -  71.5443 68.2153 70.5571 65.9829 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.440085000  1014.25 0 20.6458  -  nan  -0.127712 0.0612208 -0.0140946  -0.127299 0.0474043 0.12943  0.0097887 -0.0431782 9.25187  1.04423 -0.320933 8.94061  - - -  - - -  71.2287 68.341 70.3343 66.438 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.441071000  1014.25 0 20.6458  -  nan  -0.127666 0.0596784 0.00192775  -0.127299 0.0474043 0.12943  0.0412967 -0.0516384 9.24239  1.04423 -0.320933 8.94061  - - -  - - -  71.2213 68.3567 70.3545 66.4321 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.442071000  1014.13 0 20.6458  -  nan  -0.122333 0.0587244 0.0100965  -0.0798948 0.0511327 0.0751011  0.0638206 -0.0338706 9.31731  0.780776 0.531694 11.7021  - - -  - - -  70.9523 68.6118 70.1174 66.7429 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.443097000  1013.72 0 20.6458  -  nan  -0.117596 0.0578769 0.0173533  -0.0798948 0.0511327 0.0751011  0.0856583 -0.0166441 9.38994  0.780776 0.531694 11.7021  - - -  - - -  70.6098 68.9343 69.8597 67.0776 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.444105000  1013.58 0 20.6458  -  nan  -0.113268 0.0590862 0.00970784  -0.0788296 0.0687096 -0.0511327  0.083414 0.00443478 9.38742  0.0119751 0.675396 9.30705  - - -  - - -  70.6098 68.9343 69.8597 67.0776 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.445124000  1013.58 0 20.6458  -  nan  -0.109423 0.0601605 0.0029159  -0.0788296 0.0687096 -0.0511327  0.0812381 0.0248716 9.38497  0.0119751 0.675396 9.30705  - - -  - - -  70.1892 69.2678 69.2902 67.7057 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.446094000  1013.18 0 20.6458  -  nan  -0.11023 0.0588554 -0.0139991  -0.116646 0.0484695 -0.148604  0.0596507 0.0361508 9.34262  -0.627495 0.395178 7.99458  - - -  - - -  70.1892 69.2678 69.2902 67.7057 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.447109000  1013.32 0 20.6458  -  nan  -0.110946 0.057696 -0.0290258  -0.116646 0.0484695 -0.148604  0.0387209 0.0470864 9.30156  -0.627495 0.395178 7.99458  - - -  - - -  70.1277 69.1794 69.2497 67.9221 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.450232000  1013.32 0 20.6458  -  -  - - -  - - -  - - -  - - -  - - -  - - -  70.1277 69.1794 69.2497 67.9221 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064785.450457000  1014.7 0 20.6458  -  nan  -0.111582 0.056666 -0.042375  -0.116646 0.0484695 -0.148604  0.0184286 0.0576889 9.26175  -0.627495 0.395178 7.99458  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
