# pom logged on Tue Aug 18 15:51:37 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787068297.706728000 0 1 1 1 1 1 0.677723 -0.746533 0.240007 -2.53549e-05 1.29175e-05 0.991994 -0.000346642 0.00024026 0.000581528 -0.000375628 -0.00232377 0.0010014 -0.00554433 0.0060418 0.00548709 3.16671e-08 3.16671e-08 3.15407e-08 6.26335e-07 6.26335e-07 6.27714e-07 1.21138e-05 1.21138e-05 1.19501e-05 1.21138e-05 1.21138e-05 1.19501e-05 0.0174142 0.0174142 0.0173594
1787068297.707765000 0 1 1 1 1 1 0.677723 -0.746533 0.240008 -2.55688e-05 1.381e-05 0.991991 -0.000358105 0.000244191 0.000589638 -0.000453534 -0.00187742 0.000358362 -0.00632296 0.00572361 0.00581675 3.27843e-08 3.27843e-08 3.26552e-08 6.30579e-07 6.30579e-07 6.31957e-07 1.21258e-05 1.21258e-05 1.19568e-05 1.21258e-05 1.21258e-05 1.19568e-05 0.0147003 0.0147003 0.0146455
1787068297.708723000 0 1 1 1 1 1 0.677723 -0.746532 0.240008 -2.73121e-05 1.31899e-05 0.991991 -0.000364162 0.000249674 0.000595211 -0.000453534 -0.00187742 0.000358362 -0.00632296 0.00572361 0.00581675 3.38406e-08 3.38406e-08 3.37086e-08 6.67652e-07 6.67652e-07 6.6903e-07 1.22943e-05 1.22943e-05 1.21203e-05 1.22943e-05 1.22943e-05 1.21203e-05 0.0191348 0.0191348 0.01908
1787068297.709729000 0 1 1 1 1 1 0.677721 -0.746531 0.240007 -2.5624e-05 1.0694e-05 0.991992 -0.000381265 0.000274608 0.000567591 -0.00037574 -0.00183399 0.000373584 -0.0063105 0.00570125 0.00580599 2.62467e-08 2.62467e-08 2.61761e-08 6.10831e-07 6.10831e-07 6.12064e-07 1.01778e-05 1.01778e-05 1.00225e-05 1.01778e-05 1.01778e-05 1.00225e-05 0.019025 0.019025 0.0189771
1787068297.710795000 0 1 1 1 1 1 0.677721 -0.74653 0.240007 -2.47948e-05 1.08245e-05 0.991994 -0.000392185 0.000276852 0.00056943 -0.00026635 -0.00144923 0.000626543 -0.00682786 0.00521526 0.00525769 2.7165e-08 2.7165e-08 2.70927e-08 5.36262e-07 5.36262e-07 5.37539e-07 9.83706e-06 9.83706e-06 9.67732e-06 9.83706e-06 9.83706e-06 9.67732e-06 0.0140722 0.0140722 0.0140241
1787068297.711829000 0 1 1 1 1 1 0.677721 -0.74653 0.240008 -2.60192e-05 1.12355e-05 0.991995 -0.000396693 0.000283015 0.000575667 -0.000397299 -0.0013254 0.00056833 -0.0064464 0.00533178 0.00537665 2.80792e-08 2.80792e-08 2.80046e-08 5.19802e-07 5.19802e-07 5.21087e-07 9.73804e-06 9.73804e-06 9.57377e-06 9.73804e-06 9.73804e-06 9.57377e-06 0.0111021 0.0111021 0.0110541
1787068297.712832000 0 1 1 1 1 1 0.67772 -0.74653 0.240009 -2.72241e-05 1.15443e-05 0.991995 -0.000400482 0.00028942 0.000582172 -0.000496766 -0.00123158 0.000516451 -0.00604535 0.00549048 0.00554315 2.89863e-08 2.89863e-08 2.89091e-08 5.20046e-07 5.20046e-07 5.2133e-07 9.72857e-06 9.72857e-06 9.55979e-06 9.72857e-06 9.72857e-06 9.55979e-06 0.010803 0.010803 0.010755
1787068297.713750000 0 1 1 1 1 1 0.67772 -0.74653 0.240009 -2.78297e-05 1.24855e-05 0.991995 -0.000403792 0.000295362 0.000593019 -0.00063 -0.00100288 0.000414032 -0.00568683 0.00563495 0.00646536 2.98336e-08 2.98336e-08 2.97536e-08 5.18042e-07 5.18042e-07 5.19326e-07 9.71974e-06 9.71974e-06 9.54674e-06 9.71974e-06 9.71974e-06 9.54674e-06 0.0102289 0.0102289 0.0101808
1787068297.714729000 0 1 1 1 1 1 0.677719 -0.746529 0.24001 -2.83666e-05 1.36164e-05 0.991995 -0.000407263 0.000301735 0.000606958 -0.000756599 -0.000769164 0.000311474 -0.00533693 0.00577752 0.00773485 3.07554e-08 3.07554e-08 3.0672e-08 5.17617e-07 5.17617e-07 5.18902e-07 9.72179e-06 9.72179e-06 9.5442e-06 9.72179e-06 9.72179e-06 9.5442e-06 0.0100811 0.0100811 0.010033
1787068297.715781000 0 1 1 1 1 1 0.677719 -0.746529 0.24001 -2.936e-05 1.42077e-05 0.991995 -0.000413981 0.000304986 0.000618373 -0.000805349 -0.000708635 0.000217928 -0.00552373 0.00529967 0.00828906 3.17664e-08 3.17664e-08 3.16789e-08 5.18924e-07 5.18924e-07 5.20209e-07 9.73341e-06 9.73341e-06 9.55079e-06 9.73341e-06 9.73341e-06 9.55079e-06 0.0103772 0.0103772 0.0103291
1787068297.718848000 0 1 1 1 1 1 0.677718 -0.746528 0.240009 -2.89249e-05 1.38388e-05 0.991994 -0.000430247 0.000310527 0.000599777 -0.000846851 -0.000669172 6.0443e-05 -0.00653325 0.00356446 0.00848527 2.59643e-08 2.59643e-08 2.59124e-08 4.87903e-07 4.87903e-07 4.89161e-07 7.92487e-06 7.92487e-06 7.75867e-06 7.92487e-06 7.92487e-06 7.75867e-06 0.0133883 0.0133883 0.0133455
1787068297.719798000 0 1 1 1 1 1 0.677718 -0.746528 0.24001 -2.56318e-05 1.39308e-05 0.99199 -0.000435571 0.000308998 0.000598825 -0.000382308 -4.07164e-05 -0.00073729 -0.00638393 0.00282251 0.00714894 2.67014e-08 2.67014e-08 2.66463e-08 4.71184e-07 4.71184e-07 4.72436e-07 7.87216e-06 7.87216e-06 7.70198e-06 7.87216e-06 7.87216e-06 7.70198e-06 0.00990901 0.00990901 0.00986627
1787068297.720721000 0 1 1 1 1 1 0.677717 -0.746527 0.24001 -2.58563e-05 1.42056e-05 0.991989 -0.000441463 0.000311603 0.000605423 -0.000382308 -4.07164e-05 -0.00073729 -0.00638393 0.00282251 0.00714894 2.7432e-08 2.7432e-08 2.73732e-08 4.9353e-07 4.9353e-07 4.94779e-07 7.9808e-06 7.9808e-06 7.80669e-06 7.9808e-06 7.9808e-06 7.80669e-06 0.0141824 0.0141824 0.0141397
1787068297.721747000 0 1 1 1 1 1 0.677717 -0.746527 0.240011 -2.36515e-05 1.26561e-05 0.991986 -0.00044355 0.000309385 0.000602775 9.9418e-05 0.000132366 -0.00124145 -0.00570691 0.00204151 0.0056413 2.82578e-08 2.82578e-08 2.81947e-08 4.64348e-07 4.64348e-07 4.65609e-07 7.86838e-06 7.86838e-06 7.68985e-06 7.86838e-06 7.86838e-06 7.68985e-06 0.0106081 0.0106081 0.0105652
