name ts   x y z   roll pitch yaw  err delay
HR_6 1787068343.858165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4.6e-05
QR_4 1787068343.858165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.6e-05
HR_6 1787068343.868165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   5e-06
QR_4 1787068343.868165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5e-06
HR_6 1787068343.878165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4.9e-05
QR_4 1787068343.878165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.9e-05
HR_6 1787068343.888165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.002093
QR_4 1787068343.888165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.002093
HR_6 1787068343.898164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3e-06
QR_4 1787068343.898164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3e-06
HR_6 1787068343.908165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2e-05
QR_4 1787068343.908165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-05
HR_6 1787068343.918165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.001063
QR_4 1787068343.918165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.001063
HR_6 1787068343.928165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4.6e-05
QR_4 1787068343.928165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.6e-05
HR_6 1787068343.938165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   5e-06
QR_4 1787068343.938165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5e-06
HR_6 1787068343.948165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.8e-05
QR_4 1787068343.948165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.8e-05
HR_6 1787068343.958165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000208
QR_4 1787068343.958165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000208
HR_6 1787068343.968163000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2e-06
QR_4 1787068343.968163000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-06
HR_6 1787068343.978164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.1e-05
QR_4 1787068343.978164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.1e-05
HR_6 1787068343.988164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000189
QR_4 1787068343.988164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000189
HR_6 1787068343.998164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000108
QR_4 1787068343.998164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000108
HR_6 1787068344.008164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2.6e-05
QR_4 1787068344.008164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.6e-05
HR_6 1787068344.018164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.0032
QR_4 1787068344.018164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.0032
HR_6 1787068344.028164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   5.3e-05
QR_4 1787068344.028164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5.3e-05
HR_6 1787068344.038164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.3e-05
QR_4 1787068344.038164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.3e-05
HR_6 1787068344.048164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000484
QR_4 1787068344.048164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000484
HR_6 1787068344.058164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.1e-05
QR_4 1787068344.058164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.1e-05
HR_6 1787068344.068164000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   9e-06
QR_4 1787068344.068164000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   9e-06
HR_6 1787068344.078165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.3e-05
QR_4 1787068344.078165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.3e-05
HR_6 1787068344.088165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000246
QR_4 1787068344.088165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000246
HR_6 1787068344.098165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.1e-05
QR_4 1787068344.098165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.1e-05
HR_6 1787068344.108165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.1e-05
QR_4 1787068344.108165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.1e-05
HR_6 1787068344.118165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4e-06
QR_4 1787068344.118165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4e-06
HR_6 1787068344.128165000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.9e-05
QR_4 1787068344.128165000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.9e-05
HR_6 1787068344.138161000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2e-06
QR_4 1787068344.138161000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-06
HR_6 1787068344.148162000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2.5e-05
QR_4 1787068344.148162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.5e-05
HR_6 1787068344.158162000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.8e-05
QR_4 1787068344.158162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.8e-05
HR_6 1787068344.168162000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.7e-05
QR_4 1787068344.168162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.7e-05
HR_6 1787068344.178162000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   9.5e-05
QR_4 1787068344.178162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   9.5e-05
HR_6 1787068344.188162000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.7e-05
QR_4 1787068344.188162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.7e-05
HR_6 1787068344.198162000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.8e-05
QR_4 1787068344.198162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.8e-05
HR_6 1787068344.208162000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.8e-05
QR_4 1787068344.208162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.8e-05
HR_6 1787068344.218162000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2e-05
QR_4 1787068344.218162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-05
HR_6 1787068344.228162000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.1e-05
QR_4 1787068344.228162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.1e-05
HR_6 1787068344.238154000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2e-06
QR_4 1787068344.238154000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-06
HR_6 1787068344.248148000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2e-06
QR_4 1787068344.248148000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-06
HR_6 1787068344.258149000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4.5e-05
QR_4 1787068344.258149000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.5e-05
HR_6 1787068344.268149000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.00126
QR_4 1787068344.268149000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.00126
HR_6 1787068344.278149000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   5.5e-05
QR_4 1787068344.278149000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5.5e-05
HR_6 1787068344.288149000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.001823
QR_4 1787068344.288149000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.001823
HR_6 1787068344.298149000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000339
QR_4 1787068344.298149000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000339
HR_6 1787068344.308149000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000137
QR_4 1787068344.308149000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000137
HR_6 1787068344.318149000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.7e-05
QR_4 1787068344.318149000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.7e-05
HR_6 1787068344.328149000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   7.1e-05
QR_4 1787068344.328149000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   7.1e-05
HR_6 1787068344.338149000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.3e-05
QR_4 1787068344.338149000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.3e-05
HR_6 1787068344.348149000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000617
QR_4 1787068344.348149000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000617
HR_6 1787068344.358150000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.8e-05
QR_4 1787068344.358150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.8e-05
HR_6 1787068344.368150000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.5e-05
QR_4 1787068344.368150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.5e-05
HR_6 1787068344.378150000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000124
QR_4 1787068344.378150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000124
HR_6 1787068344.388150000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   6e-06
QR_4 1787068344.388150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   6e-06
HR_6 1787068344.398150000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   5.3e-05
QR_4 1787068344.398150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5.3e-05
HR_6 1787068344.408150000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   8.3e-05
QR_4 1787068344.408150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   8.3e-05
HR_6 1787068344.418150000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   7.7e-05
QR_4 1787068344.418150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   7.7e-05
HR_6 1787068344.428150000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4.5e-05
QR_4 1787068344.428150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.5e-05
HR_6 1787068344.438150000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000298
QR_4 1787068344.438150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000298
HR_6 1787068344.448150000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2.3e-05
QR_4 1787068344.448150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.3e-05
HR_6 1787068344.458151000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.6e-05
QR_4 1787068344.458151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.6e-05
HR_6 1787068344.468151000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000755
QR_4 1787068344.468151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000755
HR_6 1787068344.478151000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.8e-05
QR_4 1787068344.478151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.8e-05
HR_6 1787068344.488151000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4e-06
QR_4 1787068344.488151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4e-06
HR_6 1787068344.498151000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   2e-05
QR_4 1787068344.498151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-05
HR_6 1787068344.508151000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.6e-05
QR_4 1787068344.508151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.6e-05
HR_6 1787068344.518151000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1.8e-05
QR_4 1787068344.518151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.8e-05
HR_6 1787068344.528151000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.002201
QR_4 1787068344.528151000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.002201
HR_6 1787068344.538142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   1e-06
QR_4 1787068344.538142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1e-06
HR_6 1787068344.548142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   5.4e-05
QR_4 1787068344.548142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5.4e-05
HR_6 1787068344.558142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   5.9e-05
QR_4 1787068344.558142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5.9e-05
HR_6 1787068344.568142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4.6e-05
QR_4 1787068344.568142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.6e-05
HR_6 1787068344.578142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4.7e-05
QR_4 1787068344.578142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.7e-05
HR_6 1787068344.588142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   8.8e-05
QR_4 1787068344.588142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   8.8e-05
HR_6 1787068344.598142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   8.3e-05
QR_4 1787068344.598142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   8.3e-05
HR_6 1787068344.608142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   4.4e-05
QR_4 1787068344.608142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.4e-05
HR_6 1787068344.618142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000798
QR_4 1787068344.618142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000798
HR_6 1787068344.628142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   3.2e-05
QR_4 1787068344.628142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.2e-05
HR_6 1787068344.638142000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   5.8e-05
QR_4 1787068344.638142000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5.8e-05
HR_6 1787068344.648143000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   6.2e-05
QR_4 1787068344.648143000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   6.2e-05
HR_6 1787068344.658143000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   0.000129
QR_4 1787068344.658143000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000129
HR_6 1787068344.668143000 0.837480   -0.868464 0.24 1.39514e-06   -6.5402e-07 0.944612 0.0001   6.7e-05
QR_4 1787068344.668143000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   6.7e-05
